cell_reference,value_written,source_field_from_json
A1,Current Assets,(template static label / computed)
B1,Amount,(template static label / computed)
C1,Current Liabilities,(template static label / computed)
D1,Amount,(template static label / computed)
A2,Cash & Cash Equivalents,(template static label / computed)
B2,168000,(template static label / computed)
C2,Accounts Payable,(template static label / computed)
D2,262000,(template static label / computed)
A3,Accounts Receivable,(template static label / computed)
B3,95000,(template static label / computed)
C3,Short-Term Debt,(template static label / computed)
D3,80000,(template static label / computed)
A4,Inventory,(template static label / computed)
B4,140000,(template static label / computed)
C4,Accrued Expenses,(template static label / computed)
D4,33000,(template static label / computed)
A5,Prepaid Expenses,(template static label / computed)
B5,12000,(template static label / computed)
C5,Deferred Revenue,(template static label / computed)
D5,25000,(template static label / computed)
A10,Total Current Assets,(template static label / computed)
B10,415000,(template static label / computed)
C10,Total Current Liabilities,(template static label / computed)
D10,400000,(template static label / computed)
